"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FD","PE","RB","A","CA","FC","FS","SG","FF","FT","I","CV","G","PP","DD","GS","DP","GC"
"1","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,26,"GRE","mei","Contundido",2.4,3.64,-0.36,2.4,1,"Grêmio",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,26,"PAL","lat","Nulo",-0.1,6.62,-0.26,1.79,13,"Palmeiras",NA,14,5,2,1,15,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,26,"VAS","zag","Nulo",0,2.3,0,1.08,12,"Vasco",1,31,13,NA,3,12,6,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
"4","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,26,"FLA","zag","Provável",0,7.02,0,4.47,9,"Flamengo",3,12,12,2,3,6,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,26,"CRU","tec","Provável",1.63,12.61,-0.27,3.79,26,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,26,"ATL","zag","Nulo",0,4.3,0,1.93,15,"Atlético-PR",2,32,13,NA,4,13,11,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,26,"PAL","mei","Nulo",0,6.6,0,2.27,13,"Palmeiras",3,39,17,2,4,9,11,NA,11,NA,3,NA,NA,NA,NA,NA,NA,NA
"8","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,26,"ATL","tec","Provável",4.6,9.12,0.47,4.6,1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,26,"PON","zag","Nulo",0,9.94,0,4.1,14,"Ponte Preta",6,26,14,NA,3,7,22,7,7,NA,2,1,NA,NA,NA,NA,NA,NA
"10","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,26,"ATL","ata","Nulo",-0.6,4.7,-0.09,1.36,20,"Atlético-MG",8,28,4,NA,1,36,22,NA,9,1,17,NA,4,1,NA,NA,NA,NA
